ชื่อจุดติดตั้ง  สถาบันวิจัยดาราศาสตร์แห่งชาติ,,
ลำดับ,วันที่,ค่า PM2.5 (µg/m³)
1,1 เม.ย. 2566,267
2,2 เม.ย. 2566,129
3,3 เม.ย. 2566,117
4,4 เม.ย. 2566,157
5,5 เม.ย. 2566,220
6,6 เม.ย. 2566,314
7,7 เม.ย. 2566,301
8,8 เม.ย. 2566,184
9,9 เม.ย. 2566,150
10,10 เม.ย. 2566,146
11,11 เม.ย. 2566,184
12,12 เม.ย. 2566,196
13,13 เม.ย. 2566,139
14,14 เม.ย. 2566,109
15,15 เม.ย. 2566,186
16,16 เม.ย. 2566,122
17,17 เม.ย. 2566,120
18,18 เม.ย. 2566,114
19,19 เม.ย. 2566,99
20,20 เม.ย. 2566,81
21,21 เม.ย. 2566,83
22,22 เม.ย. 2566,65
23,23 เม.ย. 2566,45
24,24 เม.ย. 2566,51
